route,beacon_index,lat,lon,is_endpoint
"Central Park S & N T1.gpx",2,40.77892158800034,-73.97282187109174,0
"Central Park S & N T1.gpx",3,40.77893184192454,-73.97275646492783,0
"Central Park S & N T1.gpx",4,40.77897978637037,-73.97272487258333,0
"Central Park S & N T1.gpx",5,40.779193013508795,-73.97268608139935,0
"Central Park S & N T1.gpx",6,40.77928092291514,-73.97277177889774,0
"Central Park S & N T1.gpx",7,40.7793972070123,-73.97292430613577,0
"Central Park S & N T1.gpx",8,40.77944481973714,-73.97295892789485,0
"Central Park S & N T1.gpx",9,40.7795780480449,-73.97299895195512,0
"Central Park S & N T1.gpx",10,40.77914808361522,-73.97344223812473,0
"Central Park S & N T1.gpx",11,40.778981,-73.973575,1
"Central Park S & N T2.gpx",0,40.778011,-73.966286,1
"Central Park S & N T2.gpx",1,40.777939826094375,-73.96617589418732,0
"Central Park S & N T2.gpx",2,40.77787013432506,-73.96598018122785,0
"Central Park S & N T2.gpx",3,40.777798,-73.965856,1
"Central Park S & N T3.gpx",0,40.775513,-73.971583,1
"Central Park S & N T3.gpx",1,40.77534470372809,-73.97139910694297,0
"Central Park S & N T3.gpx",2,40.77519156747686,-73.97119184157575,0
"Central Park S & N T3.gpx",3,40.77509419403758,-73.971129451798,0
"Central Park S & N T3.gpx",4,40.77487886980491,-73.97117832291289,0
"Central Park S & N T3.gpx",5,40.77466220294409,-73.971218870772,0
"Central Park S & N T3.gpx",6,40.77450124191589,-73.9711792146542,0
"Central Park S & N T3.gpx",7,40.77436161376178,-73.97107501533179,0
"Central Park S & N T3.gpx",8,40.77445278886046,-73.97099795164031,0
"Central Park S & N T3.gpx",9,40.77448271204335,-73.97093818775593,0
"Central Park S & N T3.gpx",10,40.77449781244279,-73.97086968801489,0
"Central Park S & N T3.gpx",11,40.7744977694851,-73.97079815588083,0
"Central Park S & N T3.gpx",12,40.774482792225335,-73.97072945682754,0
"Central Park S & N T3.gpx",13,40.77445344482359,-73.97066910911381,0
"Central Park S & N T3.gpx",14,40.77441241277979,-73.97062170753095,0
"Central Park S & N T3.gpx",15,40.774362348975735,-73.97059220564641,0
"Central Park S & N T3.gpx",16,40.77430781755881,-73.97058500871726,0
"Central Park S & N T3.gpx",17,40.774292138357,-73.97052285388779,0
"Central Park S & N T3.gpx",18,40.77432,-73.970383,1
